Year,PF
2020,473
2019,451
2018,565
2017,415
2016,389
2015,405
2014,353
2013,430
2012,211
2011,212
2010,366
2009,294
2008,291
2007,226
2006,331
2005,403
2004,483
2003,484
2002,467
2001,320
2000,355
1999,390
1998,327
1997,375
1996,297
1995,358
1994,319
1993,328
1992,348
1991,322
1990,369
1989,318
1988,254
1987,273
1986,358
1985,317
1984,314
1983,386
1982,176
1981,343
1980,319
1979,238
1978,243
1977,225
1976,290
1975,282
1974,233
1973,231
1972,287
1971,302
1970,272
1969,359
1968,371
1967,408
1966,448
1965,322
1964,366
1963,347
1962,389
1961,334
1960,362
